time;V(/OUT_N);V(/OUT_SINGLE);user1;
0.201207;1.31526;3.1055;-0.00577113;
0.201217;1.31627;3.12213;-0.00567343;
0.201227;1.31704;3.13618;-0.00557323;
0.201237;1.31758;3.1476;-0.00547094;
0.201247;1.31786;3.15634;-0.00536694;
0.201257;1.31791;3.16237;-0.00526165;
0.201267;1.31771;3.16566;-0.00515548;
0.201277;1.31726;3.16621;-0.00504885;
0.201287;1.31657;3.164;-0.00494217;
0.201297;1.31564;3.15906;-0.00483587;
0.201307;1.31448;3.15139;-0.00473036;
0.201317;1.31308;3.14102;-0.00462605;
0.201327;1.31146;3.12801;-0.00452335;
0.201337;1.30962;3.11239;-0.00442267;
0.201347;1.30757;3.09424;-0.0043244;
0.201357;1.30531;3.07361;-0.00422893;
0.201367;1.30286;3.0506;-0.00413663;
0.201377;1.30022;3.0253;-0.00404788;
0.201387;1.2974;2.99779;-0.00396301;
0.201397;1.29442;2.9682;-0.00388237;
0.201407;1.29129;2.93663;-0.00380627;
0.201417;1.28802;2.90322;-0.00373502;
0.201427;1.28462;2.86809;-0.0036689;
0.201437;1.28111;2.83138;-0.00360818;
0.201447;1.2775;2.79324;-0.00355308;
0.201457;1.2738;2.75382;-0.00350385;
0.201467;1.27003;2.71327;-0.00346066;
0.201477;1.2662;2.67175;-0.00342369;
0.201487;1.26234;2.62943;-0.0033931;
0.201497;1.25845;2.58648;-0.003369;
0.201507;1.25454;2.54306;-0.00335149;
0.201517;1.25064;2.49935;-0.00334063;
0.201527;1.24677;2.45551;-0.00333648;
0.201537;1.24293;2.41173;-0.00333904;
0.201547;1.23914;2.36817;-0.00334831;
0.201557;1.23541;2.32501;-0.00336425;
0.201567;1.23177;2.28242;-0.0033868;
0.201577;1.22822;2.24057;-0.00341586;
0.201587;1.22478;2.19962;-0.00345131;
0.201597;1.22146;2.15973;-0.00349302;
0.201607;1.21828;2.12106;-0.00354081;
0.201617;1.21525;2.08377;-0.0035945;
0.201627;1.21238;2.048;-0.00365387;
0.201637;1.20968;2.01389;-0.00371868;
0.201647;1.20716;1.98158;-0.00378868;
0.201657;1.20483;1.95119;-0.00386358;
0.201667;1.2027;1.92284;-0.00394309;
0.201677;1.20079;1.89665;-0.0040269;
0.201687;1.19909;1.87272;-0.00411466;
0.201697;1.19761;1.85114;-0.00420604;
0.201707;1.19636;1.832;-0.00430067;
0.201717;1.19535;1.81537;-0.00439818;
0.201727;1.19458;1.80132;-0.00449818;
0.201737;1.19404;1.7899;-0.00460029;
0.201747;1.19375;1.78116;-0.0047041;
0.201757;1.19371;1.77513;-0.0048092;
0.201767;1.19391;1.77184;-0.00491517;
0.201777;1.19435;1.77129;-0.00502162;
0.201787;1.19504;1.7735;-0.0051281;
0.201797;1.19596;1.77844;-0.00523421;
0.201807;1.19712;1.78612;-0.00533954;
0.201817;1.19852;1.79648;-0.00544366;
0.201827;1.20013;1.80949;-0.00554617;
0.201837;1.20197;1.82511;-0.00564666;
0.201847;1.20402;1.84327;-0.00574473;
0.201857;1.20628;1.86389;-0.00584001;
0.201867;1.20873;1.8869;-0.00593212;
0.201877;1.21136;1.91221;-0.00602068;
0.201887;1.21417;1.93972;-0.00610536;
0.201897;1.21715;1.96931;-0.00618581;
0.201907;1.22027;2.00088;-0.00626171;
0.201917;1.22354;2.03429;-0.00633277;
0.201927;1.22694;2.06942;-0.00639869;
0.201937;1.23044;2.10613;-0.00645923;
0.201947;1.23405;2.14427;-0.00651413;
0.201957;1.23775;2.1837;-0.00656317;
0.201967;1.24151;2.22425;-0.00660617;
0.201977;1.24534;2.26576;-0.00664294;
0.201987;1.2492;2.30808;-0.00667334;
0.201997;1.25309;2.35104;-0.00669725;
0.202007;1.25699;2.39446;-0.00671457;
0.202017;1.26089;2.43817;-0.00672523;
0.202027;1.26476;2.48201;-0.00672919;
0.202037;1.2686;2.52579;-0.00672643;
0.202047;1.27239;2.56935;-0.00671696;
0.202057;1.27612;2.6125;-0.00670083;
0.202067;1.27976;2.6551;-0.00667809;
0.202077;1.28331;2.69695;-0.00664884;
0.202087;1.28675;2.7379;-0.00661319;
0.202097;1.29006;2.77779;-0.00657129;
0.202107;1.29325;2.81646;-0.00652331;
0.202117;1.29628;2.85375;-0.00646942;
0.202127;1.29915;2.88952;-0.00640986;
0.202137;1.30185;2.92363;-0.00634486;
0.202147;1.30437;2.95594;-0.00627467;
0.202157;1.3067;2.98633;-0.00619957;
0.202167;1.30883;3.01468;-0.00611987;
0.202177;1.31074;3.04087;-0.00603588;
0.202187;1.31244;3.0648;-0.00594792;
0.202197;1.31392;3.08638;-0.00585635;
0.202207;1.31517;3.10552;-0.00576153;
0.202217;1.31618;3.12215;-0.00566383;
0.202227;1.31695;3.1362;-0.00556364;
0.202237;1.31748;3.14762;-0.00546134;
0.202247;1.31777;3.15637;-0.00535734;
0.202257;1.31781;3.1624;-0.00525205;
0.202267;1.31761;3.16569;-0.00514588;
0.202277;1.31717;3.16623;-0.00503925;
0.202287;1.31648;3.16403;-0.00493258;
0.202297;1.31555;3.15908;-0.00482627;
0.202307;1.31439;3.15141;-0.00472076;
0.202317;1.31299;3.14105;-0.00461645;
0.202327;1.31137;3.12803;-0.00451375;
0.202337;1.30953;3.11242;-0.00441307;
0.202347;1.30747;3.09426;-0.0043148;
0.202357;1.30522;3.07364;-0.00421933;
0.202367;1.30276;3.05063;-0.00412704;
0.202377;1.30012;3.02532;-0.00403828;
0.202387;1.29731;2.99782;-0.00395341;
0.202397;1.29433;2.96822;-0.00387277;
0.202407;1.2912;2.93666;-0.00379668;
0.202417;1.28793;2.90324;-0.00372543;
0.202427;1.28453;2.86811;-0.00365931;
0.202437;1.28102;2.83141;-0.00359858;
0.202447;1.2774;2.79327;-0.00354349;
0.202457;1.27371;2.75384;-0.00349425;
0.202467;1.26994;2.71329;-0.00345106;
0.202477;1.26611;2.67178;-0.0034141;
0.202487;1.26224;2.62946;-0.0033835;
0.202497;1.25835;2.5865;-0.0033594;
0.202507;1.25445;2.54308;-0.00334189;
0.202517;1.25055;2.49937;-0.00333104;
0.202527;1.24668;2.45554;-0.00332688;
0.202537;1.24283;2.41175;-0.00332945;
0.202547;1.23904;2.3682;-0.00333872;
0.202557;1.23532;2.32504;-0.00335466;
0.202567;1.23168;2.28245;-0.00337721;
0.202577;1.22813;2.2406;-0.00340626;
0.202587;1.22469;2.19964;-0.00344172;
0.202597;1.22137;2.15976;-0.00348343;
0.202607;1.21819;2.12109;-0.00353122;
0.202617;1.21516;2.0838;-0.00358491;
0.202627;1.21228;2.04803;-0.00364428;
0.202637;1.20958;2.01392;-0.00370909;
0.202647;1.20706;1.9816;-0.00377909;
0.202657;1.20474;1.95121;-0.00385399;
0.202667;1.20261;1.92287;-0.0039335;
0.202677;1.20069;1.89668;-0.0040173;
0.202687;1.19899;1.87275;-0.00410507;
0.202697;1.19752;1.85117;-0.00419645;
0.202707;1.19627;1.83203;-0.00429108;
0.202717;1.19526;1.8154;-0.00438859;
0.202727;1.19448;1.80134;-0.00448859;
