time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/SE_IN+);
9.00107;2.1189;2.11811;7.61169;7.51416;
9.00108;2.12215;2.12137;7.6324;7.51741;
9.00109;2.12529;2.12454;7.65255;7.52056;
9.0011;2.12833;2.1276;7.67205;7.52359;
9.00111;2.13124;2.13054;7.69083;7.5265;
9.00112;2.13401;2.13334;7.70882;7.52927;
9.00113;2.13664;2.136;7.72595;7.5319;
9.00114;2.1391;2.1385;7.74214;7.53437;
9.00115;2.1414;2.14084;7.75733;7.53667;
9.00116;2.14353;2.143;7.77147;7.53879;
9.00117;2.14547;2.14498;7.78449;7.54073;
9.00118;2.14721;2.14677;7.79636;7.54248;
9.00119;2.14876;2.14837;7.80701;7.54402;
9.0012;2.1501;2.14976;7.8164;7.54536;
9.00121;2.15123;2.15093;7.82451;7.54649;
9.00122;2.15215;2.1519;7.8313;7.54741;
9.00123;2.15285;2.15265;7.83674;7.54811;
9.00124;2.15332;2.15317;7.84081;7.54858;
9.00125;2.15357;2.15348;7.84349;7.54883;
9.00126;2.1536;2.15356;7.84478;7.54886;
9.00127;2.1534;2.15341;7.84466;7.54866;
9.00128;2.15298;2.15304;7.84315;7.54824;
9.00129;2.15234;2.15245;7.84024;7.54759;
9.0013;2.15147;2.15164;7.83594;7.54673;
9.00131;2.15039;2.15061;7.83028;7.54565;
9.00132;2.1491;2.14937;7.82328;7.54436;
9.00133;2.1476;2.14792;7.81495;7.54286;
9.00134;2.14591;2.14627;7.80535;7.54116;
9.00135;2.14401;2.14442;7.7945;7.53927;
9.00136;2.14193;2.14239;7.78244;7.53718;
9.00137;2.13967;2.14017;7.76923;7.53493;
9.00138;2.13724;2.13778;7.75492;7.5325;
9.00139;2.13466;2.13523;7.73955;7.52991;
9.0014;2.13192;2.13253;7.72321;7.52717;
9.00141;2.12904;2.12969;7.70594;7.52429;
9.00142;2.12603;2.12671;7.68781;7.52129;
9.00143;2.12291;2.12362;7.66891;7.51816;
9.00144;2.11969;2.12042;7.64929;7.51494;
9.00145;2.11637;2.11713;7.62905;7.51162;
9.00146;2.11298;2.11376;7.60826;7.50823;
9.00147;2.10952;2.11032;7.58699;7.50477;
9.00148;2.10601;2.10682;7.56535;7.50127;
9.00149;2.10247;2.10329;7.5434;7.49772;
9.0015;2.0989;2.09973;7.52124;7.49415;
