time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/SE_IN+);
9.13157;2.07415;2.07494;7.36756;7.4704;
9.13158;2.0709;2.07168;7.34685;7.46716;
9.13159;2.06776;2.06851;7.3267;7.46401;
9.1316;2.06472;2.06545;7.3072;7.46098;
9.13161;2.06181;2.06251;7.28842;7.45807;
9.13162;2.05904;2.05971;7.27043;7.4553;
9.13163;2.05642;2.05705;7.2533;7.45267;
9.13164;2.05395;2.05455;7.23711;7.45021;
9.13165;2.05165;2.05221;7.22192;7.44791;
9.13166;2.04953;2.05005;7.20778;7.44578;
9.13167;2.04759;2.04807;7.19476;7.44385;
9.13168;2.04584;2.04628;7.1829;7.4421;
9.13169;2.04429;2.04469;7.17225;7.44055;
9.1317;2.04295;2.0433;7.16285;7.43921;
9.13171;2.04182;2.04212;7.15474;7.43808;
9.13172;2.04091;2.04116;7.14795;7.43717;
9.13173;2.04021;2.04041;7.14251;7.43647;
9.13174;2.03974;2.03988;7.13844;7.436;
9.13175;2.03948;2.03958;7.13576;7.43575;
9.13176;2.03946;2.0395;7.13447;7.43572;
9.13177;2.03965;2.03965;7.13459;7.43592;
9.13178;2.04008;2.04002;7.1361;7.43634;
9.13179;2.04072;2.04061;7.13901;7.43699;
9.1318;2.04158;2.04142;7.14331;7.43785;
9.13181;2.04266;2.04245;7.14897;7.43893;
9.13182;2.04395;2.04369;7.15598;7.44022;
9.13183;2.04545;2.04514;7.1643;7.44172;
9.13184;2.04715;2.04679;7.1739;7.44342;
9.13185;2.04904;2.04863;7.18476;7.44531;
9.13186;2.05112;2.05067;7.19681;7.44739;
9.13187;2.05338;2.05288;7.21002;7.44965;
9.13188;2.05581;2.05527;7.22434;7.45208;
9.13189;2.0584;2.05782;7.2397;7.45467;
9.1319;2.06113;2.06052;7.25604;7.45741;
9.13191;2.06401;2.06336;7.27331;7.46028;
9.13192;2.06702;2.06634;7.29144;7.46329;
9.13193;2.07014;2.06943;7.31034;7.46641;
9.13194;2.07336;2.07263;7.32996;7.46963;
9.13195;2.07668;2.07592;7.3502;7.47295;
9.13196;2.08007;2.07929;7.37099;7.47634;
9.13197;2.08352;2.08273;7.39226;7.4798;
9.13198;2.08703;2.08622;7.4139;7.48331;
9.13199;2.09058;2.08976;7.43585;7.48685;
9.132;2.09414;2.09332;7.45801;7.49042;
9.13201;2.09772;2.09689;7.48029;7.494;
9.13202;2.10129;2.10046;7.50261;7.49757;
9.13203;2.10484;2.10401;7.52488;7.50112;
9.13204;2.10836;2.10753;7.54701;7.50464;
9.13205;2.11183;2.11101;7.56891;7.50811;
9.13206;2.11524;2.11444;7.5905;7.51152;
9.13207;2.11858;2.11779;7.61169;7.51485;
9.13208;2.12182;2.12105;7.6324;7.5181;
9.13209;2.12497;2.12422;7.65255;7.52125;
9.1321;2.12801;2.12728;7.67205;7.52428;
9.13211;2.13092;2.13022;7.69083;7.52719;
9.13212;2.13369;2.13302;7.70882;7.52996;
9.13213;2.13631;2.13568;7.72595;7.53259;
9.13214;2.13878;2.13818;7.74214;7.53505;
9.13215;2.14108;2.14052;7.75733;7.53735;
9.13216;2.14321;2.14268;7.77147;7.53948;
9.13217;2.14515;2.14466;7.78449;7.54142;
9.13218;2.14689;2.14645;7.79636;7.54316;
9.13219;2.14844;2.14804;7.80701;7.54471;
9.1322;2.14978;2.14943;7.8164;7.54605;
9.13221;2.15091;2.15061;7.82451;7.54718;
9.13222;2.15183;2.15158;7.8313;7.5481;
9.13223;2.15252;2.15232;7.83674;7.54879;
9.13224;2.153;2.15285;7.84081;7.54927;
9.13225;2.15325;2.15315;7.84349;7.54952;
9.13226;2.15328;2.15323;7.84478;7.54954;
9.13227;2.15308;2.15309;7.84466;7.54935;
9.13228;2.15266;2.15272;7.84315;7.54892;
9.13229;2.15201;2.15213;7.84024;7.54828;
9.1323;2.15115;2.15132;7.83594;7.54742;
9.13231;2.15007;2.15029;7.83028;7.54634;
9.13232;2.14878;2.14905;7.82328;7.54504;
9.13233;2.14728;2.1476;7.81495;7.54355;
9.13234;2.14558;2.14595;7.80535;7.54185;
9.13235;2.14369;2.1441;7.7945;7.53995;
9.13236;2.14161;2.14206;7.78244;7.53787;
9.13237;2.13935;2.13985;7.76923;7.53561;
9.13238;2.13692;2.13746;7.75492;7.53318;
9.13239;2.13433;2.13491;7.73955;7.53059;
9.1324;2.13159;2.13221;7.72321;7.52786;
9.13241;2.12872;2.12936;7.70594;7.52498;
9.13242;2.12571;2.12639;7.68781;7.52197;
9.13243;2.12259;2.1233;7.66891;7.51885;
9.13244;2.11937;2.1201;7.64929;7.51563;
9.13245;2.11605;2.11681;7.62905;7.51231;
9.13246;2.11266;2.11344;7.60826;7.50892;
9.13247;2.1092;2.11;7.58699;7.50546;
9.13248;2.10569;2.1065;7.56535;7.50195;
9.13249;2.10215;2.10297;7.5434;7.49841;
9.1325;2.09858;2.09941;7.52124;7.49484;
9.13251;2.095;2.09584;7.49896;7.49126;
9.13252;2.09143;2.09227;7.47664;7.48769;
9.13253;2.08788;2.08871;7.45437;7.48414;
9.13254;2.08436;2.08519;7.43224;7.48062;
9.13255;2.08089;2.08171;7.41034;7.47715;
9.13256;2.07748;2.07829;7.38875;7.47374;
9.13257;2.07415;2.07494;7.36756;7.47041;
9.13258;2.0709;2.07167;7.34685;7.46716;
9.13259;2.06775;2.06851;7.3267;7.46402;
9.1326;2.06472;2.06545;7.3072;7.46098;
9.13261;2.06181;2.06251;7.28842;7.45808;
9.13262;2.05904;2.05971;7.27043;7.4553;
9.13263;2.05641;2.05705;7.2533;7.45268;
9.13264;2.05395;2.05455;7.23711;7.45021;
9.13265;2.05165;2.05221;7.22192;7.44791;
9.13266;2.04952;2.05005;7.20778;7.44579;
9.13267;2.04758;2.04807;7.19476;7.44385;
9.13268;2.04584;2.04628;7.1829;7.44211;
9.13269;2.04429;2.04469;7.17225;7.44056;
9.1327;2.04295;2.0433;7.16285;7.43922;
9.13271;2.04182;2.04212;7.15474;7.43809;
9.13272;2.0409;2.04115;7.14795;7.43717;
9.13273;2.04021;2.04041;7.14251;7.43648;
9.13274;2.03973;2.03988;7.13844;7.436;
9.13275;2.03948;2.03958;7.13576;7.43575;
9.13276;2.03945;2.0395;7.13447;7.43573;
9.13277;2.03965;2.03964;7.13459;7.43593;
9.13278;2.04007;2.04001;7.1361;7.43635;
9.13279;2.04072;2.0406;7.13901;7.43699;
9.1328;2.04158;2.04142;7.14331;7.43785;
9.13281;2.04266;2.04244;7.14897;7.43893;
9.13282;2.04395;2.04368;7.15598;7.44023;
9.13283;2.04545;2.04513;7.1643;7.44172;
9.13284;2.04715;2.04678;7.1739;7.44342;
9.13285;2.04904;2.04863;7.18476;7.44532;
9.13286;2.05112;2.05067;7.19681;7.4474;
9.13287;2.05338;2.05288;7.21002;7.44966;
9.13288;2.05581;2.05527;7.22434;7.45208;
9.13289;2.05839;2.05782;7.2397;7.45467;
9.1329;2.06113;2.06052;7.25604;7.45741;
9.13291;2.06401;2.06336;7.27331;7.46029;
9.13292;2.06701;2.06633;7.29144;7.46329;
9.13293;2.07013;2.06942;7.31034;7.46641;
9.13294;2.07336;2.07262;7.32996;7.46964;
9.13295;2.07667;2.07591;7.3502;7.47295;
9.13296;2.08007;2.07929;7.37099;7.47635;
9.13297;2.08352;2.08273;7.39226;7.4798;
9.13298;2.08703;2.08622;7.4139;7.48331;
9.13299;2.09057;2.08975;7.43585;7.48686;
9.133;2.09414;2.09331;7.45801;7.49042;
9.13301;2.09772;2.09689;7.48029;7.494;
9.13302;2.10129;2.10046;7.50261;7.49757;
9.13303;2.10484;2.10401;7.52488;7.50112;
9.13304;2.10836;2.10753;7.54701;7.50464;
9.13305;2.11183;2.11101;7.56891;7.50811;
9.13306;2.11524;2.11443;7.5905;7.51152;
9.13307;2.11857;2.11778;7.61169;7.51486;
9.13308;2.12182;2.12105;7.6324;7.5181;
9.13309;2.12497;2.12422;7.65255;7.52125;
9.1331;2.128;2.12728;7.67205;7.52428;
9.13311;2.13091;2.13021;7.69083;7.52719;
9.13312;2.13369;2.13302;7.70882;7.52997;
9.13313;2.13631;2.13567;7.72595;7.53259;
9.13314;2.13878;2.13818;7.74214;7.53506;
9.13315;2.14108;2.14051;7.75733;7.53736;
9.13316;2.1432;2.14268;7.77147;7.53948;
9.13317;2.14514;2.14466;7.78449;7.54142;
9.13318;2.14689;2.14645;7.79636;7.54317;
9.13319;2.14844;2.14804;7.80701;7.54471;
9.1332;2.14978;2.14943;7.8164;7.54606;
9.13321;2.15091;2.15061;7.82451;7.54719;
9.13322;2.15182;2.15157;7.8313;7.5481;
9.13323;2.15252;2.15232;7.83674;7.5488;
9.13324;2.153;2.15285;7.84081;7.54927;
9.13325;2.15325;2.15315;7.84349;7.54952;
9.13326;2.15327;2.15323;7.84478;7.54955;
9.13327;2.15308;2.15309;7.84466;7.54935;
9.13328;2.15266;2.15272;7.84315;7.54893;
9.13329;2.15201;2.15212;7.84024;7.54828;
9.1333;2.15115;2.15131;7.83594;7.54742;
9.13331;2.15007;2.15028;7.83028;7.54634;
9.13332;2.14878;2.14904;7.82328;7.54505;
9.13333;2.14728;2.14759;7.81495;7.54355;
9.13334;2.14558;2.14594;7.80535;7.54185;
9.13335;2.14369;2.1441;7.7945;7.53996;
9.13336;2.14161;2.14206;7.78244;7.53788;
9.13337;2.13935;2.13984;7.76923;7.53562;
9.13338;2.13692;2.13746;7.75492;7.53319;
9.13339;2.13433;2.13491;7.73955;7.5306;
9.1334;2.13159;2.13221;7.72321;7.52786;
9.13341;2.12871;2.12936;7.70594;7.52498;
9.13342;2.12571;2.12639;7.68781;7.52198;
9.13343;2.12259;2.1233;7.66891;7.51886;
9.13344;2.11936;2.1201;7.64929;7.51563;
9.13345;2.11605;2.11681;7.62905;7.51232;
9.13346;2.11265;2.11343;7.60826;7.50892;
9.13347;2.1092;2.10999;7.58699;7.50547;
9.13348;2.10569;2.1065;7.56535;7.50196;
9.13349;2.10214;2.10297;7.5434;7.49841;
9.1335;2.09858;2.09941;7.52124;7.49484;
9.13351;2.095;2.09583;7.49896;7.49127;
9.13352;2.09143;2.09226;7.47664;7.4877;
9.13353;2.08788;2.08871;7.45437;7.48415;
9.13354;2.08436;2.08519;7.43224;7.48063;
9.13355;2.08089;2.08171;7.41034;7.47716;
9.13356;2.07748;2.07829;7.38875;7.47375;
9.13357;2.07415;2.07494;7.36756;7.47041;
9.13358;2.0709;2.07167;7.34685;7.46717;
9.13359;2.06775;2.0685;7.3267;7.46402;
9.1336;2.06472;2.06545;7.3072;7.46099;
9.13361;2.06181;2.06251;7.28842;7.45808;
9.13362;2.05904;2.05971;7.27043;7.45531;
9.13363;2.05641;2.05705;7.2533;7.45268;
9.13364;2.05394;2.05455;7.23711;7.45022;
9.13365;2.05164;2.05221;7.22192;7.44792;
9.13366;2.04952;2.05005;7.20778;7.44579;
9.13367;2.04758;2.04807;7.19476;7.44386;
9.13368;2.04584;2.04628;7.1829;7.44211;
9.13369;2.04429;2.04468;7.17225;7.44056;
9.1337;2.04295;2.0433;7.16285;7.43922;
9.13371;2.04182;2.04212;7.15474;7.43809;
9.13372;2.0409;2.04115;7.14795;7.43718;
9.13373;2.04021;2.04041;7.14251;7.43648;
9.13374;2.03973;2.03988;7.13844;7.43601;
9.13375;2.03948;2.03958;7.13576;7.43576;
9.13376;2.03945;2.0395;7.13447;7.43573;
9.13377;2.03965;2.03964;7.13459;7.43593;
9.13378;2.04007;2.04001;7.1361;7.43635;
9.13379;2.04071;2.0406;7.13901;7.437;
9.1338;2.04158;2.04141;7.14331;7.43786;
9.13381;2.04266;2.04244;7.14897;7.43894;
9.13382;2.04395;2.04368;7.15598;7.44023;
9.13383;2.04545;2.04513;7.1643;7.44173;
9.13384;2.04714;2.04678;7.1739;7.44343;
9.13385;2.04904;2.04863;7.18476;7.44532;
9.13386;2.05112;2.05066;7.19681;7.4474;
9.13387;2.05338;2.05288;7.21002;7.44966;
9.13388;2.0558;2.05526;7.22434;7.45209;
9.13389;2.05839;2.05781;7.2397;7.45468;
9.1339;2.06113;2.06052;7.25604;7.45742;
9.13391;2.06401;2.06336;7.27331;7.46029;
9.13392;2.06701;2.06633;7.29144;7.4633;
9.13393;2.07013;2.06942;7.31034;7.46642;
9.13394;2.07336;2.07262;7.32996;7.46964;
9.13395;2.07667;2.07591;7.3502;7.47296;
9.13396;2.08006;2.07928;7.37099;7.47635;
9.13397;2.08352;2.08272;7.39226;7.47981;
9.13398;2.08703;2.08622;7.4139;7.48332;
9.13399;2.09057;2.08975;7.43585;7.48686;
9.134;2.09414;2.09331;7.45801;7.49043;
9.13401;2.09772;2.09688;7.48029;7.49401;
9.13402;2.10129;2.10045;7.50261;7.49758;
9.13403;2.10484;2.10401;7.52488;7.50113;
9.13404;2.10836;2.10753;7.54701;7.50465;
9.13405;2.11183;2.11101;7.56891;7.50812;
9.13406;2.11524;2.11443;7.5905;7.51153;
9.13407;2.11857;2.11778;7.61169;7.51486;
9.13408;2.12182;2.12105;7.6324;7.51811;
9.13409;2.12497;2.12422;7.65255;7.52126;
9.1341;2.128;2.12727;7.67205;7.52429;
9.13411;2.13091;2.13021;7.69083;7.5272;
9.13412;2.13368;2.13301;7.70882;7.52997;
9.13413;2.13631;2.13567;7.72595;7.5326;
9.13414;2.13878;2.13817;7.74214;7.53506;
9.13415;2.14108;2.14051;7.75733;7.53736;
9.13416;2.1432;2.14268;7.77147;7.53949;
9.13417;2.14514;2.14466;7.78449;7.54143;
9.13418;2.14689;2.14645;7.79636;7.54317;
9.13419;2.14843;2.14804;7.80701;7.54472;
9.1342;2.14978;2.14943;7.8164;7.54606;
9.13421;2.15091;2.15061;7.82451;7.54719;
9.13422;2.15182;2.15157;7.8313;7.54811;
9.13423;2.15252;2.15232;7.83674;7.5488;
9.13424;2.15299;2.15285;7.84081;7.54928;
9.13425;2.15325;2.15315;7.84349;7.54953;
9.13426;2.15327;2.15323;7.84478;7.54955;
9.13427;2.15307;2.15308;7.84466;7.54936;
9.13428;2.15265;2.15271;7.84315;7.54893;
9.13429;2.15201;2.15212;7.84024;7.54829;
9.1343;2.15115;2.15131;7.83594;7.54743;
9.13431;2.15007;2.15028;7.83028;7.54635;
9.13432;2.14878;2.14904;7.82328;7.54505;
9.13433;2.14728;2.14759;7.81495;7.54356;
9.13434;2.14558;2.14594;7.80535;7.54186;
9.13435;2.14368;2.14409;7.7945;7.53996;
9.13436;2.1416;2.14206;7.78244;7.53788;
9.13437;2.13935;2.13984;7.76923;7.53562;
9.13438;2.13692;2.13745;7.75492;7.53319;
9.13439;2.13433;2.13491;7.73955;7.5306;
9.1344;2.13159;2.1322;7.72321;7.52787;
9.13441;2.12871;2.12936;7.70594;7.52499;
9.13442;2.12571;2.12639;7.68781;7.52198;
9.13443;2.12259;2.12329;7.66891;7.51886;
9.13444;2.11936;2.1201;7.64929;7.51564;
9.13445;2.11605;2.1168;7.62905;7.51232;
9.13446;2.11265;2.11343;7.60826;7.50893;
9.13447;2.1092;2.10999;7.58699;7.50547;
9.13448;2.10569;2.1065;7.56535;7.50196;
9.13449;2.10214;2.10296;7.5434;7.49842;
9.1345;2.09857;2.0994;7.52124;7.49485;
9.13451;2.095;2.09583;7.49896;7.49127;
9.13452;2.09143;2.09226;7.47664;7.4877;
9.13453;2.08788;2.08871;7.45437;7.48415;
9.13454;2.08436;2.08518;7.43224;7.48063;
9.13455;2.08089;2.08171;7.41034;7.47716;
9.13456;2.07748;2.07828;7.38875;7.47375;
9.13457;2.07414;2.07493;7.36756;7.47042;
9.13458;2.0709;2.07167;7.34685;7.46717;
9.13459;2.06775;2.0685;7.3267;7.46403;
9.1346;2.06472;2.06544;7.3072;7.46099;
9.13461;2.06181;2.06251;7.28842;7.45809;
9.13462;2.05903;2.0597;7.27043;7.45531;
9.13463;2.05641;2.05705;7.2533;7.45269;
9.13464;2.05394;2.05454;7.23711;7.45022;
9.13465;2.05164;2.05221;7.22192;7.44792;
9.13466;2.04952;2.05004;7.20778;7.4458;
9.13467;2.04758;2.04806;7.19476;7.44386;
9.13468;2.04583;2.04627;7.1829;7.44212;
9.13469;2.04429;2.04468;7.17225;7.44057;
9.1347;2.04295;2.04329;7.16285;7.43923;
9.13471;2.04182;2.04211;7.15474;7.4381;
9.13472;2.0409;2.04115;7.14795;7.43718;
9.13473;2.0402;2.0404;7.14251;7.43649;
9.13474;2.03973;2.03988;7.13844;7.43601;
9.13475;2.03948;2.03957;7.13576;7.43576;
9.13476;2.03945;2.03949;7.13447;7.43574;
9.13477;2.03965;2.03964;7.13459;7.43594;
9.13478;2.04007;2.04001;7.1361;7.43636;
9.13479;2.04071;2.0406;7.13901;7.437;
9.1348;2.04158;2.04141;7.14331;7.43786;
9.13481;2.04265;2.04244;7.14897;7.43894;
9.13482;2.04395;2.04368;7.15598;7.44024;
9.13483;2.04544;2.04513;7.1643;7.44173;
9.13484;2.04714;2.04678;7.1739;7.44343;
9.13485;2.04903;2.04863;7.18476;7.44533;
9.13486;2.05111;2.05066;7.19681;7.44741;
9.13487;2.05337;2.05288;7.21002;7.44967;
9.13488;2.0558;2.05526;7.22434;7.45209;
9.13489;2.05839;2.05781;7.2397;7.45468;
9.1349;2.06113;2.06051;7.25604;7.45742;
9.13491;2.064;2.06336;7.27331;7.4603;
9.13492;2.06701;2.06633;7.29144;7.4633;
9.13493;2.07013;2.06942;7.31034;7.46642;
9.13494;2.07335;2.07262;7.32996;7.46965;
9.13495;2.07667;2.07591;7.3502;7.47296;
9.13496;2.08006;2.07928;7.37099;7.47636;
9.13497;2.08352;2.08272;7.39226;7.47981;
9.13498;2.08703;2.08622;7.4139;7.48332;
9.13499;2.09057;2.08975;7.43585;7.48687;
9.135;2.09414;2.09331;7.45801;7.49043;
9.13501;2.09771;2.09688;7.48029;7.49401;
9.13502;2.10128;2.10045;7.50261;7.49758;
9.13503;2.10484;2.104;7.52488;7.50113;
9.13504;2.10835;2.10753;7.54701;7.50465;
9.13505;2.11183;2.11101;7.56891;7.50812;
9.13506;2.11524;2.11443;7.5905;7.51153;
9.13507;2.11857;2.11778;7.61169;7.51487;
9.13508;2.12182;2.12104;7.6324;7.51811;
9.13509;2.12496;2.12421;7.65255;7.52126;
9.1351;2.128;2.12727;7.67205;7.52429;
9.13511;2.13091;2.13021;7.69083;7.5272;
9.13512;2.13368;2.13301;7.70882;7.52998;
9.13513;2.13631;2.13567;7.72595;7.5326;
9.13514;2.13877;2.13817;7.74214;7.53507;
9.13515;2.14108;2.14051;7.75733;7.53737;
9.13516;2.1432;2.14267;7.77147;7.53949;
9.13517;2.14514;2.14465;7.78449;7.54143;
9.13518;2.14688;2.14644;7.79636;7.54318;
9.13519;2.14843;2.14804;7.80701;7.54472;
9.1352;2.14977;2.14943;7.8164;7.54607;
9.13521;2.1509;2.1506;7.82451;7.5472;
9.13522;2.15182;2.15157;7.8313;7.54811;
9.13523;2.15252;2.15232;7.83674;7.54881;
9.13524;2.15299;2.15284;7.84081;7.54928;
9.13525;2.15324;2.15315;7.84349;7.54953;
9.13526;2.15327;2.15323;7.84478;7.54956;
9.13527;2.15307;2.15308;7.84466;7.54936;
9.13528;2.15265;2.15271;7.84315;7.54894;
9.13529;2.15201;2.15212;7.84024;7.54829;
9.1353;2.15114;2.15131;7.83594;7.54743;
9.13531;2.15006;2.15028;7.83028;7.54635;
9.13532;2.14877;2.14904;7.82328;7.54506;
9.13533;2.14727;2.14759;7.81495;7.54356;
9.13534;2.14558;2.14594;7.80535;7.54186;
9.13535;2.14368;2.14409;7.7945;7.53997;
9.13536;2.1416;2.14206;7.78244;7.53789;
9.13537;2.13934;2.13984;7.76923;7.53563;
9.13538;2.13691;2.13745;7.75492;7.5332;
9.13539;2.13433;2.1349;7.73955;7.53061;
9.1354;2.13159;2.1322;7.72321;7.52787;
9.13541;2.12871;2.12936;7.70594;7.52499;
9.13542;2.1257;2.12638;7.68781;7.52199;
9.13543;2.12258;2.12329;7.66891;7.51887;
9.13544;2.11936;2.12009;7.64929;7.51564;
9.13545;2.11604;2.1168;7.62905;7.51233;
9.13546;2.11265;2.11343;7.60826;7.50893;
9.13547;2.10919;2.10999;7.58699;7.50548;
9.13548;2.10568;2.1065;7.56535;7.50197;
9.13549;2.10214;2.10296;7.5434;7.49842;
9.1355;2.09857;2.0994;7.52124;7.49485;
9.13551;2.095;2.09583;7.49896;7.49128;
9.13552;2.09143;2.09226;7.47664;7.48771;
9.13553;2.08787;2.08871;7.45437;7.48416;
9.13554;2.08436;2.08518;7.43224;7.48064;
9.13555;2.08089;2.0817;7.41034;7.47717;
9.13556;2.07748;2.07828;7.38875;7.47376;
9.13557;2.07414;2.07493;7.36756;7.47042;
9.13558;2.07089;2.07167;7.34685;7.46718;
9.13559;2.06775;2.0685;7.3267;7.46403;
9.1356;2.06471;2.06544;7.3072;7.461;
9.13561;2.0618;2.0625;7.28842;7.45809;
9.13562;2.05903;2.0597;7.27043;7.45532;
9.13563;2.05641;2.05704;7.2533;7.45269;
9.13564;2.05394;2.05454;7.23711;7.45023;
9.13565;2.05164;2.0522;7.22192;7.44793;
9.13566;2.04952;2.05004;7.20778;7.4458;
9.13567;2.04758;2.04806;7.19476;7.44387;
9.13568;2.04583;2.04627;7.1829;7.44212;
9.13569;2.04428;2.04468;7.17225;7.44057;
9.1357;2.04294;2.04329;7.16285;7.43923;
9.13571;2.04181;2.04211;7.15474;7.4381;
9.13572;2.0409;2.04115;7.14795;7.43719;
9.13573;2.0402;2.0404;7.14251;7.43649;
9.13574;2.03973;2.03987;7.13844;7.43602;
9.13575;2.03947;2.03957;7.13576;7.43577;
9.13576;2.03945;2.03949;7.13447;7.43574;
9.13577;2.03965;2.03964;7.13459;7.43594;
9.13578;2.04007;2.04001;7.1361;7.43636;
9.13579;2.04071;2.0406;7.13901;7.43701;
9.1358;2.04157;2.04141;7.14331;7.43787;
9.13581;2.04265;2.04244;7.14897;7.43895;
9.13582;2.04394;2.04368;7.15598;7.44024;
9.13583;2.04544;2.04513;7.1643;7.44174;
9.13584;2.04714;2.04678;7.1739;7.44344;
9.13585;2.04903;2.04862;7.18476;7.44533;
9.13586;2.05111;2.05066;7.19681;7.44741;
9.13587;2.05337;2.05287;7.21002;7.44967;
9.13588;2.0558;2.05526;7.22434;7.4521;
9.13589;2.05839;2.05781;7.2397;7.45469;
9.1359;2.06112;2.06051;7.25604;7.45743;
9.13591;2.064;2.06335;7.27331;7.4603;
9.13592;2.06701;2.06633;7.29144;7.46331;
9.13593;2.07013;2.06942;7.31034;7.46643;
9.13594;2.07335;2.07262;7.32996;7.46965;
9.13595;2.07667;2.07591;7.3502;7.47297;
9.13596;2.08006;2.07928;7.37099;7.47636;
9.13597;2.08352;2.08272;7.39226;7.47982;
9.13598;2.08702;2.08621;7.4139;7.48333;
9.13599;2.09057;2.08975;7.43585;7.48687;
9.136;2.09414;2.09331;7.45801;7.49044;
9.13601;2.09771;2.09688;7.48029;7.49402;
9.13602;2.10128;2.10045;7.50261;7.49759;
9.13603;2.10483;2.104;7.52488;7.50114;
9.13604;2.10835;2.10753;7.54701;7.50466;
9.13605;2.11182;2.111;7.56891;7.50813;
9.13606;2.11523;2.11443;7.5905;7.51154;
9.13607;2.11857;2.11778;7.61169;7.51487;
9.13608;2.12182;2.12104;7.6324;7.51812;
9.13609;2.12496;2.12421;7.65255;7.52127;
9.1361;2.128;2.12727;7.67205;7.5243;
9.13611;2.13091;2.13021;7.69083;7.52721;
9.13612;2.13368;2.13301;7.70882;7.52998;
9.13613;2.1363;2.13567;7.72595;7.53261;
9.13614;2.13877;2.13817;7.74214;7.53507;
9.13615;2.14107;2.14051;7.75733;7.53737;
9.13616;2.1432;2.14267;7.77147;7.5395;
9.13617;2.14514;2.14465;7.78449;7.54144;
9.13618;2.14688;2.14644;7.79636;7.54318;
9.13619;2.14843;2.14803;7.80701;7.54473;
9.1362;2.14977;2.14942;7.8164;7.54607;
9.13621;2.1509;2.1506;7.82451;7.5472;
9.13622;2.15182;2.15157;7.8313;7.54812;
9.13623;2.15251;2.15231;7.83674;7.54881;
9.13624;2.15299;2.15284;7.84081;7.54929;
9.13625;2.15324;2.15314;7.84349;7.54954;
9.13626;2.15327;2.15322;7.84478;7.54956;
9.13627;2.15307;2.15308;7.84466;7.54937;
9.13628;2.15265;2.15271;7.84315;7.54894;
9.13629;2.152;2.15212;7.84024;7.5483;
9.1363;2.15114;2.15131;7.83594;7.54744;
9.13631;2.15006;2.15028;7.83028;7.54636;
9.13632;2.14877;2.14904;7.82328;7.54506;
9.13633;2.14727;2.14759;7.81495;7.54357;
9.13634;2.14557;2.14594;7.80535;7.54187;
9.13635;2.14368;2.14409;7.7945;7.53997;
9.13636;2.1416;2.14205;7.78244;7.53789;
9.13637;2.13934;2.13984;7.76923;7.53563;
9.13638;2.13691;2.13745;7.75492;7.5332;
9.13639;2.13432;2.1349;7.73955;7.53061;
9.1364;2.13158;2.1322;7.72321;7.52788;
9.13641;2.12871;2.12936;7.70594;7.525;
9.13642;2.1257;2.12638;7.68781;7.52199;
9.13643;2.12258;2.12329;7.66891;7.51887;
9.13644;2.11936;2.12009;7.64929;7.51565;
9.13645;2.11604;2.1168;7.62905;7.51233;
9.13646;2.11265;2.11343;7.60826;7.50894;
9.13647;2.10919;2.10999;7.58699;7.50548;
9.13648;2.10568;2.10649;7.56535;7.50197;
9.13649;2.10214;2.10296;7.5434;7.49843;
9.1365;2.09857;2.0994;7.52124;7.49486;
9.13651;2.09499;2.09583;7.49896;7.49128;
9.13652;2.09142;2.09226;7.47664;7.48771;
9.13653;2.08787;2.0887;7.45437;7.48416;
9.13654;2.08435;2.08518;7.43224;7.48064;
9.13655;2.08088;2.0817;7.41034;7.47717;
9.13656;2.07747;2.07828;7.38875;7.47376;
9.13657;2.07414;2.07493;7.36756;7.47043;
9.13658;2.07089;2.07166;7.34685;7.46718;
9.13659;2.06774;2.0685;7.3267;7.46404;
9.1366;2.06471;2.06544;7.3072;7.461;
9.13661;2.0618;2.0625;7.28842;7.4581;
9.13662;2.05903;2.0597;7.27043;7.45532;
9.13663;2.0564;2.05704;7.2533;7.4527;
9.13664;2.05394;2.05454;7.23711;7.45023;
9.13665;2.05164;2.0522;7.22192;7.44793;
9.13666;2.04951;2.05004;7.20778;7.44581;
9.13667;2.04758;2.04806;7.19476;7.44387;
9.13668;2.04583;2.04627;7.1829;7.44213;
9.13669;2.04428;2.04468;7.17225;7.44058;
9.1367;2.04294;2.04329;7.16285;7.43924;
9.13671;2.04181;2.04211;7.15474;7.43811;
9.13672;2.0409;2.04115;7.14795;7.43719;
9.13673;2.0402;2.0404;7.14251;7.4365;
9.13674;2.03972;2.03987;7.13844;7.43602;
9.13675;2.03947;2.03957;7.13576;7.43577;
9.13676;2.03945;2.03949;7.13447;7.43575;
9.13677;2.03964;2.03963;7.13459;7.43595;
9.13678;2.04006;2.04;7.1361;7.43637;
9.13679;2.04071;2.04059;7.13901;7.43701;
9.1368;2.04157;2.04141;7.14331;7.43787;
9.13681;2.04265;2.04243;7.14897;7.43895;
9.13682;2.04394;2.04367;7.15598;7.44025;
9.13683;2.04544;2.04512;7.1643;7.44174;
9.13684;2.04714;2.04677;7.1739;7.44344;
9.13685;2.04903;2.04862;7.18476;7.44534;
9.13686;2.05111;2.05066;7.19681;7.44742;
9.13687;2.05337;2.05287;7.21002;7.44968;
9.13688;2.0558;2.05526;7.22434;7.4521;
9.13689;2.05838;2.05781;7.2397;7.45469;
9.1369;2.06112;2.06051;7.25604;7.45743;
9.13691;2.064;2.06335;7.27331;7.46031;
9.13692;2.067;2.06632;7.29144;7.46331;
9.13693;2.07012;2.06942;7.31034;7.46643;
9.13694;2.07335;2.07261;7.32996;7.46966;
