time;V(/IN);user0;
0.101789;-0.0969391;-0.300454;
0.101799;-0.0952061;-0.293878;
0.101809;-0.0930975;-0.28579;
0.101819;-0.0906214;-0.276222;
0.101829;-0.0877877;-0.265211;
0.101839;-0.0846075;-0.252803;
0.101849;-0.0810934;-0.239044;
0.101859;-0.0772593;-0.22399;
0.101869;-0.0731202;-0.207701;
0.101879;-0.0686926;-0.190239;
0.101889;-0.0639939;-0.171675;
0.101899;-0.0590426;-0.152081;
0.101909;-0.0538584;-0.131535;
0.101919;-0.0484615;-0.110118;
0.101929;-0.0428735;-0.087915;
0.101939;-0.0371162;-0.0650125;
0.101949;-0.0312124;-0.0415015;
0.101959;-0.0251855;-0.0174747;
0.101969;-0.0190591;0.00697301;
0.101979;-0.0128575;0.0317452;
0.101989;-0.00660524;0.0567441;
0.101999;-0.000326863;0.081871;
0.102009;0.0059528;0.107027;
0.102019;0.012209;0.132112;
0.102029;0.018417;0.157028;
0.102039;0.0245523;0.181676;
0.102049;0.0305907;0.205959;
0.102059;0.0365083;0.229782;
0.102069;0.0422819;0.253049;
0.102079;0.0478887;0.27567;
0.102089;0.0533064;0.297555;
0.102099;0.0585138;0.318617;
0.102109;0.0634902;0.338774;
0.102119;0.0682161;0.357946;
0.102129;0.0726727;0.376058;
0.102139;0.0768426;0.393037;
0.102149;0.0807091;0.408817;
0.102159;0.0842572;0.423336;
0.102169;0.0874727;0.436535;
0.102179;0.0903431;0.448364;
0.102189;0.0928568;0.458776;
0.102199;0.0950041;0.467729;
0.102209;0.0967765;0.475188;
0.102219;0.098167;0.481123;
0.102229;0.09917;0.485512;
0.102239;0.0997816;0.488337;
0.102249;0.0999995;0.489586;
0.102259;0.0998227;0.489256;
0.102269;0.0992519;0.487346;
0.102279;0.0982894;0.483865;
0.102289;0.0969391;0.478826;
0.102299;0.0952061;0.47225;
0.102309;0.0930975;0.464162;
0.102319;0.0906214;0.454594;
0.102329;0.0877877;0.443584;
0.102339;0.0846075;0.431175;
0.102349;0.0810934;0.417416;
0.102359;0.0772593;0.402363;
0.102369;0.0731202;0.386073;
0.102379;0.0686926;0.368611;
0.102389;0.0639939;0.350047;
0.102399;0.0590426;0.330454;
0.102409;0.0538584;0.309908;
0.102419;0.0484615;0.288491;
0.102429;0.0428735;0.266287;
0.102439;0.0371162;0.243385;
0.102449;0.0312124;0.219874;
0.102459;0.0251855;0.195847;
0.102469;0.0190591;0.171399;
0.102479;0.0128575;0.146627;
0.102489;0.00660524;0.121628;
0.102499;0.000326863;0.0965012;
0.102509;-0.0059528;0.0713454;
0.102519;-0.012209;0.0462601;
0.102529;-0.018417;0.0213441;
0.102539;-0.0245523;-0.00330411;
0.102549;-0.0305907;-0.0275873;
0.102559;-0.0365083;-0.0514097;
0.102569;-0.0422819;-0.0746771;
0.102579;-0.0478887;-0.0972979;
0.102589;-0.0533064;-0.119183;
0.102599;-0.0585138;-0.140245;
0.102609;-0.0634902;-0.160402;
0.102619;-0.0682161;-0.179574;
0.102629;-0.0726727;-0.197686;
0.102639;-0.0768426;-0.214665;
0.102649;-0.0807091;-0.230445;
0.102659;-0.0842572;-0.244963;
0.102669;-0.0874727;-0.258163;
0.102679;-0.0903431;-0.269992;
0.102689;-0.0928568;-0.280404;
0.102699;-0.0950041;-0.289357;
0.102709;-0.0967765;-0.296816;
0.102719;-0.098167;-0.302751;
0.102729;-0.09917;-0.30714;
0.102739;-0.0997816;-0.309965;
0.102749;-0.0999995;-0.311214;
0.102759;-0.0998227;-0.310883;
0.102769;-0.0992519;-0.308974;
0.102779;-0.0982894;-0.305493;
0.102789;-0.0969391;-0.300454;
0.102799;-0.0952061;-0.293878;
0.102809;-0.0930975;-0.28579;
