time;V(/OUT_N);V(/OUT_P);user1;
0.101267;1.03953;0.896412;-0.143119;
0.101277;1.03889;0.897051;-0.141841;
0.101287;1.03797;0.897969;-0.140004;
0.101297;1.03678;0.899163;-0.137614;
0.101307;1.03531;0.900628;-0.134682;
0.101317;1.03358;0.902359;-0.131219;
0.101327;1.03159;0.904349;-0.127237;
0.101337;1.02934;0.906589;-0.122754;
0.101347;1.02686;0.909072;-0.117787;
0.101357;1.02414;0.911787;-0.112354;
0.101367;1.0212;0.914724;-0.106478;
0.101377;1.01805;0.917871;-0.100182;
0.101387;1.0147;0.921215;-0.0934894;
0.101397;1.01117;0.924745;-0.0864281;
0.101407;1.00747;0.928445;-0.0790253;
0.101417;1.00361;0.932301;-0.0713103;
0.101427;0.999612;0.936299;-0.0633136;
0.101437;0.995488;0.940421;-0.0550666;
0.101447;0.991255;0.944653;-0.046602;
0.101457;0.986929;0.948976;-0.0379531;
0.101467;0.98253;0.953375;-0.0291543;
0.101477;0.978072;0.957832;-0.0202402;
0.101487;0.973575;0.962329;-0.0112462;
0.101497;0.969055;0.966848;-0.00220767;
0.101507;0.964532;0.971371;0.0068395;
0.101517;0.960022;0.975882;0.0158596;
0.101527;0.955544;0.980361;0.0248169;
0.101537;0.951115;0.984791;0.033676;
0.101547;0.946753;0.989155;0.0424019;
0.101557;0.942474;0.993435;0.0509601;
0.101567;0.938297;0.997614;0.0593168;
0.101577;0.934237;1.00168;0.067439;
0.101587;0.93031;1.00561;0.0752945;
0.101597;0.926533;1.00939;0.0828525;
0.101607;0.922919;1.013;0.0900831;
0.101617;0.919483;1.01644;0.0969577;
0.101627;0.916238;1.01969;0.103449;
0.101637;0.913198;1.02273;0.109532;
0.101647;0.910374;1.02556;0.115183;
0.101657;0.907778;1.02816;0.120379;
0.101667;0.905419;1.03052;0.125099;
0.101677;0.903306;1.03263;0.129326;
0.101687;0.901449;1.03449;0.133042;
0.101697;0.899854;1.03609;0.136234;
0.101707;0.898528;1.03742;0.138888;
0.101717;0.897476;1.03847;0.140994;
0.101727;0.896701;1.03925;0.142544;
0.101737;0.896208;1.03974;0.143531;
0.101747;0.895997;1.03995;0.143953;
0.101757;0.89607;1.03988;0.143807;
0.101767;0.896427;1.03952;0.143093;
0.101777;0.897065;1.03888;0.141816;
0.101787;0.897984;1.03796;0.139978;
0.101797;0.899178;1.03677;0.137589;
0.101807;0.900643;1.0353;0.134657;
0.101817;0.902374;1.03357;0.131194;
0.101827;0.904363;1.03158;0.127212;
0.101837;0.906604;1.02933;0.122729;
0.101847;0.909086;1.02685;0.117762;
0.101857;0.911801;1.02413;0.112329;
0.101867;0.914738;1.02119;0.106453;
0.101877;0.917885;1.01804;0.100156;
0.101887;0.92123;1.01469;0.0934644;
0.101897;0.924759;1.01116;0.086403;
0.101907;0.92846;1.00746;0.0790003;
0.101917;0.932316;1.0036;0.0712853;
0.101927;0.936313;0.999602;0.0632885;
0.101937;0.940436;0.995477;0.0550415;
0.101947;0.944667;0.991244;0.0465769;
0.101957;0.948991;0.986919;0.0379281;
0.101967;0.95339;0.982519;0.0291292;
0.101977;0.957846;0.978062;0.0202152;
0.101987;0.962343;0.973564;0.0112211;
0.101997;0.966862;0.969045;0.00218261;
0.102007;0.971386;0.964522;-0.00686456;
0.102017;0.975896;0.960012;-0.0158846;
0.102027;0.980375;0.955533;-0.0248419;
0.102037;0.984806;0.951104;-0.0337011;
0.102047;0.989169;0.946742;-0.042427;
0.102057;0.993449;0.942464;-0.0509852;
0.102067;0.997628;0.938287;-0.0593418;
0.102077;1.00169;0.934227;-0.067464;
0.102087;1.00562;0.9303;-0.0753196;
0.102097;1.0094;0.926522;-0.0828775;
0.102107;1.01302;0.922908;-0.0901081;
0.102117;1.01646;0.919472;-0.0969827;
0.102127;1.0197;0.916228;-0.103474;
0.102137;1.02275;0.913188;-0.109557;
0.102147;1.02557;0.910364;-0.115208;
0.102157;1.02817;0.907767;-0.120404;
0.102167;1.03053;0.905408;-0.125124;
0.102177;1.03265;0.903296;-0.129351;
0.102187;1.03451;0.901439;-0.133067;
0.102197;1.0361;0.899844;-0.136259;
0.102207;1.03743;0.898518;-0.138913;
0.102217;1.03848;0.897465;-0.141019;
0.102227;1.03926;0.896691;-0.142569;
0.102237;1.03975;0.896197;-0.143556;
0.102247;1.03996;0.895987;-0.143978;
0.102257;1.03989;0.89606;-0.143832;
0.102267;1.03953;0.896416;-0.143118;
0.102277;1.0389;0.897055;-0.141841;
0.102287;1.03798;0.897973;-0.140003;
0.102297;1.03678;0.899167;-0.137614;
0.102307;1.03531;0.900632;-0.134682;
0.102317;1.03358;0.902363;-0.131219;
0.102327;1.03159;0.904353;-0.127237;
0.102337;1.02935;0.906593;-0.122754;
0.102347;1.02686;0.909076;-0.117787;
0.102357;1.02415;0.911791;-0.112354;
0.102367;1.02121;0.914728;-0.106478;
0.102377;1.01806;0.917875;-0.100181;
0.102387;1.01471;0.92122;-0.0934893;
0.102397;1.01118;0.924749;-0.086428;
0.102407;1.00747;0.928449;-0.0790252;
0.102417;1.00362;0.932305;-0.0713102;
0.102427;0.999616;0.936303;-0.0633135;
0.102437;0.995492;0.940425;-0.0550665;
0.102447;0.991259;0.944657;-0.0466019;
0.102457;0.986934;0.948981;-0.037953;
0.102467;0.982534;0.953379;-0.0291542;
0.102477;0.978076;0.957836;-0.0202401;
0.102487;0.973579;0.962333;-0.0112461;
0.102497;0.96906;0.966852;-0.00220757;
0.102507;0.964536;0.971376;0.0068396;
0.102517;0.960026;0.975886;0.0158597;
0.102527;0.955548;0.980365;0.024817;
0.102537;0.951119;0.984795;0.0336761;
0.102547;0.946757;0.989159;0.042402;
0.102557;0.942479;0.993439;0.0509602;
0.102567;0.938301;0.997618;0.0593169;
0.102577;0.934241;1.00168;0.0674391;
0.102587;0.930315;1.00561;0.0752946;
0.102597;0.926537;1.00939;0.0828526;
0.102607;0.922923;1.01301;0.0900831;
0.102617;0.919487;1.01644;0.0969578;
0.102627;0.916243;1.01969;0.103449;
0.102637;0.913202;1.02273;0.109532;
0.102647;0.910378;1.02556;0.115183;
0.102657;0.907782;1.02816;0.120379;
0.102667;0.905423;1.03052;0.125099;
0.102677;0.903311;1.03264;0.129326;
0.102687;0.901453;1.0345;0.133042;
0.102697;0.899859;1.03609;0.136234;
0.102707;0.898532;1.03742;0.138888;
0.102717;0.89748;1.03847;0.140994;
0.102727;0.896706;1.03925;0.142544;
0.102737;0.896212;1.03974;0.143532;
0.102747;0.896001;1.03995;0.143953;
0.102757;0.896074;1.03988;0.143807;
0.102767;0.896431;1.03952;0.143094;
0.102777;0.89707;1.03889;0.141816;
0.102787;0.897988;1.03797;0.139979;
0.102797;0.899182;1.03677;0.137589;
0.102807;0.900647;1.0353;0.134657;
0.102817;0.902378;1.03357;0.131194;
0.102827;0.904367;1.03158;0.127212;
0.102837;0.906608;1.02934;0.122729;
0.102847;0.909091;1.02685;0.117762;
0.102857;0.911806;1.02413;0.112329;
0.102867;0.914742;1.0212;0.106453;
0.102877;0.917889;1.01805;0.100157;
0.102887;0.921234;1.0147;0.0934645;
0.102897;0.924763;1.01117;0.0864031;
0.102907;0.928464;1.00746;0.0790003;
0.102917;0.93232;1.00361;0.0712854;
0.102927;0.936317;0.999606;0.0632886;
0.102937;0.94044;0.995481;0.0550416;
0.102947;0.944671;0.991248;0.046577;
0.102957;0.948995;0.986923;0.0379282;
0.102967;0.953394;0.982523;0.0291293;
0.102977;0.957851;0.978066;0.0202153;
0.102987;0.962347;0.973569;0.0112212;
0.102997;0.966867;0.969049;0.00218271;
0.103007;0.97139;0.964526;-0.00686447;
0.103017;0.9759;0.960016;-0.0158845;
0.103027;0.98038;0.955538;-0.0248418;
0.103037;0.98481;0.951109;-0.033701;
0.103047;0.989173;0.946746;-0.0424269;
0.103057;0.993453;0.942468;-0.0509851;
0.103067;0.997633;0.938291;-0.0593418;
0.103077;1.00169;0.934231;-0.0674639;
0.103087;1.00562;0.930304;-0.0753195;
0.103097;1.0094;0.926527;-0.0828774;
0.103107;1.01302;0.922913;-0.090108;
0.103117;1.01646;0.919477;-0.0969826;
0.103127;1.01971;0.916232;-0.103474;
0.103137;1.02275;0.913192;-0.109557;
0.103147;1.02558;0.910368;-0.115208;
0.103157;1.02818;0.907772;-0.120403;
0.103167;1.03054;0.905413;-0.125124;
0.103177;1.03265;0.9033;-0.129351;
0.103187;1.03451;0.901443;-0.133067;
0.103197;1.03611;0.899848;-0.136259;
0.103207;1.03743;0.898522;-0.138913;
0.103217;1.03849;0.89747;-0.141019;
0.103227;1.03926;0.896695;-0.142569;
0.103237;1.03976;0.896202;-0.143556;
0.103247;1.03997;0.895991;-0.143978;
0.103257;1.0399;0.896064;-0.143832;
0.103267;1.03954;0.896421;-0.143118;
0.103277;1.0389;0.897059;-0.141841;
0.103287;1.03798;0.897977;-0.140003;
0.103297;1.03679;0.899171;-0.137614;
0.103307;1.03532;0.900637;-0.134682;
0.103317;1.03359;0.902368;-0.131218;
0.103327;1.03159;0.904357;-0.127237;
0.103337;1.02935;0.906598;-0.122754;
0.103347;1.02687;0.90908;-0.117786;
0.103357;1.02415;0.911795;-0.112354;
0.103367;1.02121;0.914732;-0.106478;
0.103377;1.01806;0.917879;-0.100181;
0.103387;1.01471;0.921224;-0.0934892;
0.103397;1.01118;0.924753;-0.0864279;
0.103407;1.00748;0.928453;-0.0790251;
0.103417;1.00362;0.93231;-0.0713101;
0.103427;0.99962;0.936307;-0.0633134;
0.103437;0.995496;0.94043;-0.0550664;
0.103447;0.991263;0.944661;-0.0466018;
0.103457;0.986938;0.948985;-0.037953;
0.103467;0.982538;0.953384;-0.0291541;
0.103477;0.97808;0.95784;-0.02024;
0.103487;0.973583;0.962337;-0.011246;
0.103497;0.969064;0.966856;-0.00220748;
0.103507;0.96454;0.97138;0.0068397;
0.103517;0.96003;0.97589;0.0158598;
0.103527;0.955552;0.980369;0.0248171;
0.103537;0.951123;0.984799;0.0336762;
0.103547;0.946761;0.989163;0.0424021;
0.103557;0.942483;0.993443;0.0509603;
0.103567;0.938305;0.997622;0.059317;
0.103577;0.934245;1.00168;0.0674392;
0.103587;0.930319;1.00561;0.0752947;
