time;V(/OUT_N);V(/OUT_SINGLE);
9.00173;0.963148;2.17461;
9.00174;0.96286;2.17181;
9.00175;0.962773;2.17027;
9.00176;0.962888;2.16998;
9.00177;0.963205;2.17096;
9.00178;0.963722;2.17319;
9.00179;0.964438;2.17668;
9.0018;0.965349;2.1814;
9.00181;0.966452;2.18733;
9.00182;0.967743;2.19446;
9.00183;0.969216;2.20276;
9.00184;0.970866;2.21219;
9.00185;0.972687;2.22271;
9.00186;0.97467;2.23429;
9.00187;0.976809;2.24688;
9.00188;0.979095;2.26043;
9.00189;0.981519;2.27488;
9.0019;0.984072;2.29018;
9.00191;0.986743;2.30627;
9.00192;0.989521;2.32309;
9.00193;0.992397;2.34057;
9.00194;0.995358;2.35863;
9.00195;0.998393;2.37722;
9.00196;1.00149;2.39625;
9.00197;1.00464;2.41565;
9.00198;1.00782;2.43534;
9.00199;1.01103;2.45525;
9.002;1.01425;2.4753;
9.00201;1.01747;2.4954;
9.00202;1.02068;2.51548;
9.00203;1.02386;2.53547;
9.00204;1.027;2.55527;
9.00205;1.03009;2.57481;
9.00206;1.03311;2.59402;
9.00207;1.03606;2.61281;
9.00208;1.03893;2.63112;
9.00209;1.04169;2.64887;
9.0021;1.04435;2.66599;
9.00211;1.04689;2.68242;
9.00212;1.04929;2.69808;
9.00213;1.05156;2.71293;
9.00214;1.05368;2.72689;
9.00215;1.05564;2.73991;
9.00216;1.05744;2.75195;
9.00217;1.05907;2.76296;
9.00218;1.06052;2.77288;
9.00219;1.06179;2.78169;
9.0022;1.06286;2.78935;
9.00221;1.06375;2.79583;
9.00222;1.06444;2.8011;
9.00223;1.06493;2.80514;
9.00224;1.06521;2.80794;
9.00225;1.0653;2.80949;
9.00226;1.06519;2.80977;
9.00227;1.06487;2.80879;
9.00228;1.06435;2.80656;
9.00229;1.06363;2.80307;
9.0023;1.06272;2.79835;
9.00231;1.06162;2.79242;
9.00232;1.06033;2.78529;
9.00233;1.05885;2.77699;
9.00234;1.0572;2.76756;
9.00235;1.05538;2.75704;
9.00236;1.05339;2.74546;
9.00237;1.05125;2.73287;
9.00238;1.04896;2.71932;
9.00239;1.04654;2.70487;
9.0024;1.04398;2.68957;
9.00241;1.04131;2.67348;
9.00242;1.03853;2.65666;
9.00243;1.03565;2.63918;
9.00244;1.03269;2.62112;
9.00245;1.02965;2.60253;
9.00246;1.02656;2.5835;
9.00247;1.02341;2.5641;
9.00248;1.02022;2.54441;
9.00249;1.01701;2.5245;
9.0025;1.01379;2.50445;
9.00251;1.01057;2.48435;
9.00252;1.00737;2.46427;
9.00253;1.00419;2.44429;
9.00254;1.00105;2.42448;
9.00255;0.99796;2.40494;
9.00256;0.994935;2.38574;
9.00257;0.991985;2.36694;
9.00258;0.989123;2.34863;
9.00259;0.986358;2.33088;
9.0026;0.983704;2.31376;
9.00261;0.981169;2.29733;
9.00262;0.978764;2.28167;
9.00263;0.976498;2.26683;
9.00264;0.97438;2.25286;
9.00265;0.972419;2.23984;
9.00266;0.970622;2.2278;
9.00267;0.968997;2.21679;
9.00268;0.967549;2.20687;
9.00269;0.966284;2.19806;
9.0027;0.965208;2.1904;
9.00271;0.964324;2.18392;
9.00272;0.963636;2.17865;
9.00273;0.963147;2.17461;
9.00274;0.962859;2.17181;
9.00275;0.962772;2.17027;
9.00276;0.962887;2.16998;
9.00277;0.963204;2.17096;
9.00278;0.963722;2.17319;
9.00279;0.964437;2.17668;
9.0028;0.965348;2.1814;
9.00281;0.966451;2.18733;
9.00282;0.967742;2.19446;
9.00283;0.969215;2.20276;
9.00284;0.970866;2.21219;
9.00285;0.972686;2.22271;
9.00286;0.97467;2.23429;
9.00287;0.976809;2.24688;
9.00288;0.979095;2.26043;
9.00289;0.981519;2.27488;
9.0029;0.984071;2.29018;
9.00291;0.986742;2.30627;
9.00292;0.989521;2.32309;
9.00293;0.992396;2.34057;
9.00294;0.995357;2.35863;
9.00295;0.998392;2.37722;
9.00296;1.00149;2.39625;
9.00297;1.00464;2.41565;
9.00298;1.00782;2.43534;
9.00299;1.01103;2.45525;
9.003;1.01425;2.4753;
9.00301;1.01747;2.4954;
9.00302;1.02067;2.51548;
9.00303;1.02385;2.53547;
9.00304;1.027;2.55527;
9.00305;1.03009;2.57481;
9.00306;1.03311;2.59402;
9.00307;1.03606;2.61281;
9.00308;1.03893;2.63112;
9.00309;1.04169;2.64887;
9.0031;1.04435;2.66599;
9.00311;1.04689;2.68242;
9.00312;1.04929;2.69808;
9.00313;1.05156;2.71293;
9.00314;1.05368;2.72689;
9.00315;1.05564;2.73991;
9.00316;1.05744;2.75195;
9.00317;1.05907;2.76296;
9.00318;1.06052;2.77288;
9.00319;1.06178;2.78169;
9.0032;1.06286;2.78935;
9.00321;1.06375;2.79583;
9.00322;1.06444;2.8011;
9.00323;1.06493;2.80514;
9.00324;1.06521;2.80794;
9.00325;1.0653;2.80949;
9.00326;1.06519;2.80977;
9.00327;1.06487;2.80879;
9.00328;1.06435;2.80656;
9.00329;1.06363;2.80307;
9.0033;1.06272;2.79835;
9.00331;1.06162;2.79242;
9.00332;1.06033;2.78529;
9.00333;1.05885;2.77699;
9.00334;1.0572;2.76756;
9.00335;1.05538;2.75704;
9.00336;1.05339;2.74546;
9.00337;1.05125;2.73287;
9.00338;1.04896;2.71932;
9.00339;1.04654;2.70487;
9.0034;1.04398;2.68957;
9.00341;1.04131;2.67348;
9.00342;1.03853;2.65666;
9.00343;1.03565;2.63918;
9.00344;1.03269;2.62112;
9.00345;1.02965;2.60253;
9.00346;1.02655;2.5835;
9.00347;1.02341;2.5641;
9.00348;1.02022;2.54441;
9.00349;1.01701;2.5245;
9.0035;1.01379;2.50445;
9.00351;1.01057;2.48435;
9.00352;1.00737;2.46427;
9.00353;1.00419;2.44429;
9.00354;1.00105;2.42448;
9.00355;0.99796;2.40494;
9.00356;0.994934;2.38574;
9.00357;0.991984;2.36694;
9.00358;0.989122;2.34863;
9.00359;0.986358;2.33088;
9.0036;0.983703;2.31376;
