time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00111;0.5811;0.580561;2.64841;2.5;
9.00112;0.583233;0.582718;2.66225;2.5;
9.00113;0.58525;0.58476;2.67541;2.5;
9.00114;0.587143;0.586681;2.68783;2.5;
9.00115;0.588905;0.588472;2.69947;2.5;
9.00116;0.590528;0.590126;2.71028;2.5;
9.00117;0.592007;0.591638;2.72022;2.5;
9.00118;0.593335;0.593;2.72924;2.5;
9.00119;0.594508;0.594208;2.73733;2.5;
9.0012;0.59552;0.595257;2.74444;2.5;
9.00121;0.596369;0.596143;2.75054;2.5;
9.00122;0.59705;0.596863;2.75562;2.5;
9.00123;0.597561;0.597413;2.75965;2.5;
9.00124;0.5979;0.597792;2.76262;2.5;
9.00125;0.598065;0.597998;2.76451;2.5;
9.00126;0.598057;0.59803;2.76533;2.5;
9.00127;0.597875;0.597888;2.76506;2.5;
9.00128;0.59752;0.597573;2.7637;2.5;
9.00129;0.596992;0.597086;2.76127;2.5;
9.0013;0.596295;0.596429;2.75777;2.5;
9.00131;0.595431;0.595605;2.75322;2.5;
9.00132;0.594403;0.594615;2.74762;2.5;
9.00133;0.593216;0.593466;2.74102;2.5;
9.00134;0.591873;0.59216;2.73342;2.5;
9.00135;0.59038;0.590703;2.72486;2.5;
9.00136;0.588744;0.589101;2.71537;2.5;
9.00137;0.586969;0.58736;2.70499;2.5;
9.00138;0.585064;0.585486;2.69377;2.5;
9.00139;0.583036;0.583488;2.68173;2.5;
9.0014;0.580892;0.581373;2.66894;2.5;
9.00141;0.578642;0.579149;2.65544;2.5;
9.00142;0.576294;0.576825;2.64128;2.5;
9.00143;0.573857;0.57441;2.62652;2.5;
9.00144;0.571341;0.571914;2.61122;2.5;
9.00145;0.568756;0.569347;2.59543;2.5;
9.00146;0.566112;0.566719;2.57923;2.5;
9.00147;0.56342;0.56404;2.56267;2.5;
9.00148;0.56069;0.561321;2.54582;2.5;
9.00149;0.557934;0.558572;2.52876;2.5;
9.0015;0.555161;0.555806;2.51153;2.5;
9.00151;0.552385;0.553032;2.49422;2.5;
9.00152;0.549614;0.550262;2.47689;2.5;
9.00153;0.546861;0.547507;2.45962;2.5;
9.00154;0.544136;0.544777;2.44246;2.5;
9.00155;0.54145;0.542084;2.42549;2.5;
9.00156;0.538814;0.539438;2.40878;2.5;
9.00157;0.536239;0.53685;2.39239;2.5;
9.00158;0.533733;0.53433;2.37639;2.5;
9.00159;0.531308;0.531888;2.36084;2.5;
9.0016;0.528973;0.529534;2.3458;2.5;
9.00161;0.526737;0.527276;2.33134;2.5;
9.00162;0.524608;0.525124;2.3175;2.5;
9.00163;0.522596;0.523086;2.30434;2.5;
9.00164;0.520708;0.52117;2.29192;2.5;
9.00165;0.518951;0.519383;2.28028;2.5;
9.00166;0.517332;0.517733;2.26947;2.5;
9.00167;0.515857;0.516226;2.25954;2.5;
9.00168;0.514533;0.514868;2.25051;2.5;
9.00169;0.513364;0.513663;2.24242;2.5;
9.0017;0.512354;0.512617;2.23531;2.5;
9.00171;0.511509;0.511734;2.22921;2.5;
9.00172;0.51083;0.511017;2.22413;2.5;
9.00173;0.510321;0.510468;2.2201;2.5;
9.00174;0.509983;0.510091;2.21713;2.5;
9.00175;0.509817;0.509885;2.21524;2.5;
9.00176;0.509826;0.509853;2.21442;2.5;
9.00177;0.510007;0.509994;2.21469;2.5;
9.00178;0.510361;0.510308;2.21605;2.5;
9.00179;0.510887;0.510793;2.21848;2.5;
9.0018;0.511582;0.511448;2.22198;2.5;
9.00181;0.512443;0.51227;2.22653;2.5;
9.00182;0.513467;0.513255;2.23213;2.5;
9.00183;0.514651;0.514401;2.23873;2.5;
9.00184;0.51599;0.515703;2.24633;2.5;
9.00185;0.517478;0.517156;2.25489;2.5;
9.00186;0.519111;0.518753;2.26438;2.5;
9.00187;0.52088;0.52049;2.27476;2.5;
9.00188;0.522781;0.522359;2.28598;2.5;
9.00189;0.524804;0.524352;2.29802;2.5;
9.0019;0.526943;0.526463;2.31081;2.5;
9.00191;0.529189;0.528683;2.32432;2.5;
9.00192;0.531534;0.531002;2.33847;2.5;
9.00193;0.533967;0.533413;2.35323;2.5;
9.00194;0.536479;0.535905;2.36854;2.5;
9.00195;0.539061;0.538469;2.38432;2.5;
9.00196;0.541702;0.541095;2.40052;2.5;
9.00197;0.544392;0.543772;2.41708;2.5;
9.00198;0.54712;0.546489;2.43393;2.5;
9.00199;0.549875;0.549236;2.451;2.5;
9.002;0.552647;0.552002;2.46822;2.5;
9.00201;0.555423;0.554776;2.48553;2.5;
9.00202;0.558194;0.557547;2.50286;2.5;
9.00203;0.560949;0.560303;2.52013;2.5;
9.00204;0.563675;0.563034;2.53729;2.5;
9.00205;0.566363;0.56573;2.55426;2.5;
9.00206;0.569002;0.568378;2.57097;2.5;
9.00207;0.571581;0.570969;2.58736;2.5;
9.00208;0.57409;0.573493;2.60336;2.5;
9.00209;0.576519;0.575939;2.61891;2.5;
9.0021;0.578858;0.578298;2.63395;2.5;
9.00211;0.581099;0.58056;2.64841;2.5;
9.00212;0.583232;0.582717;2.66225;2.5;
9.00213;0.585249;0.584759;2.67541;2.5;
9.00214;0.587142;0.58668;2.68783;2.5;
9.00215;0.588904;0.588471;2.69947;2.5;
9.00216;0.590527;0.590125;2.71028;2.5;
9.00217;0.592006;0.591637;2.72022;2.5;
9.00218;0.593334;0.592999;2.72924;2.5;
9.00219;0.594507;0.594207;2.73733;2.5;
9.0022;0.595519;0.595256;2.74444;2.5;
9.00221;0.596368;0.596142;2.75054;2.5;
9.00222;0.597049;0.596862;2.75562;2.5;
9.00223;0.59756;0.597412;2.75965;2.5;
9.00224;0.597899;0.597791;2.76262;2.5;
9.00225;0.598065;0.597997;2.76451;2.5;
9.00226;0.598056;0.598029;2.76533;2.5;
9.00227;0.597874;0.597887;2.76506;2.5;
9.00228;0.597519;0.597572;2.7637;2.5;
9.00229;0.596992;0.597085;2.76127;2.5;
